mat-ck-101 | M.8.1.1.1 | z1 | k1 | 90 sayısının asal çarpanlarına ayrılmış biçimi aşağıdakilerden hangisidir? | ✓2 · 3^{2} · 5
mat-ck-102 | M.8.1.1.1 | z1 | k1 | 28 sayısının pozitif tam sayı çarpanlarının sayısı kaçtır? | ✓6
mat-ck-103 | M.8.1.1.2 | z1 | k1 | Aşağıdaki tabloda 20 ve 30 sayılarının pozitif tam sayı bölenleri verilmiştir. Buna göre EBOB(20, 30) kaçtır? | ✓10
mat-ck-104 | M.8.1.1.2 | z1 | k1 | EKOK(8, 12) kaçtır? | ✓24
mat-ck-105 | M.8.1.1.3 | z1 | k1 | Aşağıdaki sayı çiftlerinden hangisi aralarında asaldır? | ✓4 ve 15
mat-ck-106 | M.8.1.1.1 | z1 | k1 | Aşağıda A sayısının çarpan ağacı verilmiştir. Ağaçta her sayı, altındaki iki sayının çarpımına eşittir. Buna göre A + B kaçtır? | ✓65
mat-ck-107 | M.8.1.1.1 | z2 | k1 | Beden eğitimi dersinde 36 öğrenci, her sırada eşit sayıda öğrenci olacak şekilde sıralara dizilecektir. Hem sıra sayısı hem de bi… | ✓7
mat-ck-108 | M.8.1.1.2 | z2 | k1 | Elif, uzunlukları 30 cm ve 42 cm olan iki kurdeleyi hiç artmayacak şekilde, birbirine eşit uzunlukta parçalara ayıracaktır. Parça… | ✓12
mat-ck-109 | M.8.1.1.2 | z2 | k1 | Bir duraktan A hattının otobüsleri 12 dakikada bir, B hattının otobüsleri 18 dakikada bir kalkmaktadır. İki hattın otobüsleri saa… | ✓07.36
mat-ck-110 | M.8.1.1.3 | z2 | k1 | Bir sınıf etkinliğinde masaya 1'den 12'ye kadar numaralanmış 12 kart dizilmiştir. Deniz, üzerindeki sayı 12 ile aralarında asal o… | ✓4
mat-ck-111 | M.8.1.1.1 | z2 | k1 | Okul kantinine gelen 84 şişe su, her rafta eşit sayıda şişe olacak şekilde raflara dizilecektir. Kantin görevlisi, bir raftaki şi… | ✓12
mat-ck-112 | M.8.1.1.2 | z2 | k1 | Bir ritim çalışmasında vuruşlar 1'den başlayarak sayılmaktadır. Davul, 4'ün katı olan vuruşlarda; zil, 6'nın katı olan vuruşlarda… | ✓4
mat-ck-201 | M.8.1.1.1 | z2 | k2 | Aşağıda A sayısının asal çarpanlarına ayrılması gösterilmiştir. İşlemdeki iki sayının üzeri kapatılmıştır. Buna göre A sayısı kaç… | ✓150
mat-ck-202 | M.8.1.1.1 | z2 | k2 | Bir marangoz, 72 cm uzunluğundaki tahta çıtayı hiç artmayacak şekilde eşit uzunlukta parçalara ayıracaktır. Çıta en az iki parçay… | ✓4
