tur-ca-101 | T.8.3.25 | z1 | k1 | Aşağıdaki cümlelerin hangisinde neden-sonuç ilişkisi vardır? | ✓Otobüs geç geldiği için derse yetişemedim.
tur-ca-102 | T.8.3.25 | z1 | k1 | Aşağıdaki cümlelerin hangisinde amaç-sonuç ilişkisi vardır? | ✓Fidanları sulamak için bahçeye çıktık.
tur-ca-103 | T.8.3.25 | z1 | k1 | Aşağıdaki cümlelerin hangisi öznel bir yargı bildirir? | ✓Bu yazın en keyifli günü, dün yaptığımız doğ…
tur-ca-104 | T.8.3.25 | z1 | k1 | Okulun film kulübü, cuma günkü gösterim için bir afiş hazırladı. Afişte şu cümleler yer alıyor. Bu cümlelerin hangisi nesnel bir … | ✓Film, cuma günü saat 15.00'te konferans salo…
tur-ca-105 | T.8.3.25 | z1 | k1 | Pınar, hafta sonu planlarını arkadaşına anlatırken şu cümleleri kurdu. Bu cümlelerin hangisinde yargının gerçekleşmesi bir koşula… | ✓Bilet kalmışsa cumartesi akşamı konsere gide…
tur-ca-106 | T.8.3.25 | z1 | k1 | Aşağıdaki cümlelerin hangisinde pişmanlık duygusu vardır? | ✓Keşke o gün arkadaşımın sözünü kesmeseydim.
tur-ca-107 | T.8.3.25 | z1 | k1 | Aşağıdaki cümlelerin hangisinde bir tahmin söz konusudur? | ✓Bu kalabalığa bakılırsa içeri girmemiz bir s…
tur-ca-108 | T.8.3.10 | z1 | k1 | Herkes sınavın zor geçeceğini düşünüyordu; - - - - sorular beklenenden kolay çıktı. Bu cümlede boş bırakılan yere aşağıdakilerden… | ✓oysa
tur-ca-109 | T.8.3.10 | z1 | k1 | Pikniğe yer örtüsü, çay termosu, meyve ve bir voleybol topu götürdük; - - - - güzel bir gün geçirmek için gereken her şey yanımız… | ✓kısaca
tur-ca-110 | T.8.3.10 | z1 | k1 | Bu kasabanın her mevsimi ayrı güzeldir; - - - - ilkbaharda tepeler rengârenk çiçeklerle kaplanır. Bu cümlede boş bırakılan yere a… | ✓özellikle
tur-ca-111 | T.8.3.25 | z1 | k1 | Mahallede yeni açılan bir lokanta hakkında dört kişi şunları söyledi. Bu sözlerin hangisinde ön yargı vardır? | ✓Daha içeri girmedim ama yemeklerinin kötü ol…
tur-ca-112 | T.8.3.25 | z1 | k1 | Yaz tatilinin ilk günü dört arkadaş, sınıfın mesaj grubuna şunları yazdı. Bu mesajların hangisinde kararlılık vardır? | ✓Kaç kez düşersem düşeyim, bu yaz bisiklet sü…
tur-ca-113 | T.8.3.21 | z2 | k1 | Bir gezi rehberinde şu cümleler yer alıyor: (I) Şehrimizdeki bilim müzesi, hafta sonunu geçirebileceğiniz en eğlenceli yerlerden … | ✓I
tur-ca-114 | T.8.3.25 | z2 | k1 | Robotik kulübüne yeni katılan dört öğrenci, kulübü neden seçtiklerini şöyle anlatıyor: Ece: "Geçen yılki robot yarışmasını izledi… | ✓Duru
tur-ca-115 | T.8.3.10 | z2 | k1 | Okul panosuna şu duyuru asıldı: "Okulumuzun kapalı yüzme havuzunda önümüzdeki iki hafta bakım çalışması yapılacaktır. - - - - bu … | ✓Bu nedenle
