tur-yk-101 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde "de/da"nın yazımıyla ilgili bir yanlışlık vardır? | ✓Akşam bizde kalmaya sende gelmelisin.
tur-yk-102 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde "ki"nin yazımıyla ilgili bir yanlışlık vardır? | ✓Bahçede ki güller bu sabah açmaya başladı.
tur-yk-103 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde soru ekinin yazımıyla ilgili bir yanlışlık vardır? | ✓Okulun düzenleyeceği geziye bizimle katılaca…
tur-yk-104 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde sayının yazımıyla ilgili bir yanlışlık vardır? | ✓Kermesten kazandığımız parayla onbeş kitap a…
tur-yk-105 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde büyük harflerin kullanımıyla ilgili bir yanlışlık vardır? | ✓Kardeşimle her Pazar sabahı parkta koşuyoruz.
tur-yk-106 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde kesme işaretinin kullanımıyla ilgili bir yanlışlık vardır? | ✓Kompozisyonumu Türk Dil Kurumu'nun sözlüğüne…
tur-yk-107 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde altı çizili sözcüğün yazımı yanlıştır? | ✓Bayramda hâlamı ziyaret ettik.
tur-yk-108 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde altı çizili sözcüğün yazımı yanlıştır? | ✓Çantasında birşey aradığı belliydi.
tur-yk-109 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde büyük harflerin kullanımıyla ilgili bir yanlışlık vardır? | ✓Rüzgâr bu sabah Kuzeyden esiyordu.
tur-yk-110 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde altı çizili sözcüğün yazımı yanlıştır? | ✓Bu ağır kutuyu tek başıma taşıya bilirim.
tur-yk-111 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde yazım yanlışı vardır? | ✓Fen dersini bugün laboratuarda işledik.
tur-yk-112 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde altı çizili sözcüğün yazımı yanlıştır? | ✓Öğretmenimiz ödevimde bana yardımetti.
tur-yk-113 | T.8.4.16 | z2 | k1 | (I) Geçen hafta sınıfça şehrimizdeki televizyon kanalının stüdyosunu gezdik. (II) Rehberimiz, haber bülteninin hazırlık aşamaları… | ✓IV
tur-yk-114 | T.8.4.16 | z2 | k1 | Bilim fuarı için hazırlık yapan bir öğrenci, sınıfının mesaj grubuna şunları yazıyor: (I) Arkadaşlar, fuarda ziyaretçilere küçük … | ✓I
tur-yk-115 | T.8.4.16 | z2 | k1 | (I) Kütüphanedeki eski ansiklopedileri karıştırmayı çok severim. (II) Geçen gün annemde benimle gelip bir kitaba daldı. (III) Eve… | ✓II
tur-yk-116 | T.8.4.16 | z2 | k1 | Okul panosuna asılan kermes duyurusu şöyledir: (I) Sınıflar kermese onikişer tepsi kurabiye getirecektir. (II) Satışlar saat 10.3… | ✓I
tur-yk-117 | T.8.4.16 | z2 | k1 | Aşağıdaki cümlelerin hangisinde yazım yanlışı yoktur? | ✓Sınava çalışırken birkaç kez ara verdim.
tur-yk-118 | T.8.4.16 | z2 | k1 | (I) Ablam üniversitede Almanca ve İspanyolca öğreniyor. (II) Geçen yaz Japon bir aileyle tanışmış. (III) Bana onların ülkesinde ç… | ✓IV
tur-yk-119 | T.8.4.16 | z2 | k1 | Aşağıdaki cümlelerin hangisinde kısaltmaya getirilen ekin yazımı yanlıştır? | ✓Bu haberi dün akşam TRT'ta izledik.
