ink-u2-101 | İTA.8.2.1 | z1 | k1 | Aşağıdaki tabloda Birinci Dünya Savaşı öncesinde Avrupa'da kurulan iki grup gösterilmiştir. Tabloda gösterilen bu duruma verilen … | ✓Bloklaşma
ink-u2-102 | İTA.8.2.1 | z1 | k1 | Avrupa devletleri 1914'ten çok önce silahlanmaya başlamış, sömürgeler yüzünden birbirleriyle çekişiyor ve Balkanlarda milliyetçil… | ✓Birikmiş gerilimi savaşa dönüştüren olaydır.
ink-u2-103 | İTA.8.2.2 | z1 | k1 | Aşağıdaki cümlede bir yer boş bırakılmıştır. "Limanlarına aldığı iki Alman savaş gemisine Yavuz ve Midilli adlarını veren Osmanlı… | ✓İttifak Devletlerinin yanında
ink-u2-104 | İTA.8.2.2 | z1 | k1 | Bir orduda birlikler düşman topraklarına doğru ilerliyorsa o cephe taarruz cephesi, düşmanın saldırısı kendi toprakları üzerinde … | ✓Kafkas Cephesi
ink-u2-105 | İTA.8.2.2 | z1 | k1 | 18 Mart 1915'te İtilaf Devletlerinin güçlü donanması Çanakkale Boğazı'nı geçmeye çalıştı. Mayınlar ve kıyıdaki topların ateşi kar… | ✓Boğazın denizden geçilememesi
ink-u2-106 | İTA.8.2.3 | z1 | k1 | Mondros Ateşkes Antlaşması'nın ilk maddesi şöyledir: "Çanakkale ve İstanbul Boğazları İtilaf Devletlerine açılacak; buralardaki i… | ✓İstanbul ve Boğazlar üzerinde denetim kurmayı
ink-u2-107 | İTA.8.2.4 | z1 | k1 | İşgallerin başlaması üzerine Anadolu'nun birçok yerinde halk, kendi silahını ve atını alarak bölgesindeki düşmana karşı direnişe … | ✓Halkın kendi imkânlarıyla kurulmuş olmaları
ink-u2-108 | İTA.8.2.4 | z1 | k1 | Bazı cemiyetler, ülkenin kurtuluşunu güçlü bir devletin koruması altına girmekte görüyordu. Wilson Prensipleri Cemiyeti, kurtuluş… | ✓Manda ve himaye
ink-u2-109 | İTA.8.2.5 | z1 | k1 | Mustafa Kemal'in 28 Mayıs 1919'da yayımladığı Havza Genelgesi'nden: "İşgaller protesto edilerek büyük mitingler düzenlenmeli; İti… | ✓Halkın tepkisini örgütlü biçimde göstermesin…
ink-u2-110 | İTA.8.2.5 | z1 | k1 | Aşağıda Amasya Genelgesi'nin ilk üç maddesi verilmiş, üçüncü maddede bir yer boş bırakılmıştır. Belgede boş bırakılan yere aşağıd… | ✓milletin azim ve kararı
ink-u2-111 | İTA.8.2.6 | z1 | k1 | 23 Nisan 1920'de Ankara'da açılan Büyük Millet Meclisinin ilk kararlarından biri şudur: "Mecliste toplanan millî iradeyi vatanın … | ✓Ulusal egemenlik
ink-u2-112 | İTA.8.2.7 | z1 | k1 | Büyük Millet Meclisi, açılışından kısa bir süre sonra 29 Nisan 1920'de Hıyanet-i Vataniye Kanunu'nu çıkardı. Bu kanuna göre mecli… | ✓Meclise karşı çıkan ayaklanmaları önlemek
ink-u2-113 | İTA.8.2.1 | z2 | k1 | 1900'lü yılların başında Avrupa'da yayımlanan bir dergi yazısından: "Fabrikalarımızın bacaları hiç sönmüyor; ancak pamuğu, kauçuğ… | ✓Sanayileşen devletlerin hammadde ve pazar ar…
