tur-nk-101 | T.8.4.16 | z1 | k1 | Tamam( ) sergi afişlerini bu akşam ben asarım. Bu cümlede yay ayraçla ( ) gösterilen yere aşağıdakilerden hangisi getirilmelidir? | ✓(,)
tur-nk-102 | T.8.4.16 | z1 | k1 | Okul bahçesine dikilen fidanları bu hafta kimin sulayacağını öğrendin mi( ) Bu cümlenin sonuna aşağıdakilerden hangisi getirilmel… | ✓(?)
tur-nk-103 | T.8.4.16 | z1 | k1 | Eyvah, otobüsün kalkmasına yalnızca iki dakika kalmış( ) Bu cümlenin sonuna aşağıdakilerden hangisi getirilmelidir? | ✓(!)
tur-nk-104 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde nokta, sıra bildirmek için kullanılmıştır? | ✓Mahallemizdeki 4. Sokak yeniden asfaltlandı.
tur-nk-105 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde kesme işaretinin kullanımı yanlıştır? | ✓Geçen ay Çınar Gönüllüleri Derneği’ne üye ol…
tur-nk-106 | T.8.4.16 | z1 | k1 | Doğa yürüyüşü için çantama şunları koydum( ) su, şapka, harita ve el feneri. Bu cümlede yay ayraçla ( ) gösterilen yere aşağıdaki… | ✓(:)
tur-nk-107 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde tırnak işareti, başkasının sözünü olduğu gibi aktarmak için kullanılmıştır? | ✓Öğretmenimiz “Deneyden önce gözlüklerinizi t…
tur-nk-108 | T.8.4.16 | z1 | k1 | Pazardan domates, biber, patlıcan ve kabak aldık. Bu cümlede virgül hangi görevde kullanılmıştır? | ✓Eş görevli sözcükleri ayırma
tur-nk-109 | T.8.4.16 | z1 | k1 | Yeni açılan Ankara( )Eskişehir hızlı tren hattında her gün altı sefer yapılıyor. Bu cümlede yay ayraçla ( ) gösterilen yere aşağı… | ✓(-)
tur-nk-110 | T.8.4.16 | z1 | k1 | ( ) Kütüphane cumartesi günü açık mı? ( ) Evet, öğlene kadar açık. Bu karşılıklı konuşmada satır başlarına aşağıdakilerden hangis… | ✓(—)
tur-nk-111 | T.8.4.16 | z1 | k1 | Zarfın üstüne adresi şöyle yazdım: Kırlangıç Sokağı No.: 8( )2 Merkez / Bolu Bu adreste yay ayraçla ( ) gösterilen yere aşağıdaki… | ✓(/)
tur-nk-112 | T.8.4.16 | z1 | k1 | Aşağıdakilerin hangisinde yay ayraç, cümlenin anlamını tamamlayan ek bir bilgiyi göstermek için kullanılmıştır? | ✓Babaannemin köyü (Giresun’a bağlı küçük bir …
tur-nk-113 | T.8.4.16 | z2 | k1 | Okulumuzun bahar şenliği için sınıfça iş bölümü yaptık. Sınıfın bir grubu afiş, broşür, davetiye( ) öbür grubu ise sahne, ışık, m… | ✓(;)
tur-nk-114 | T.8.4.16 | z2 | k1 | Aşağıdaki cümlelerin hangisinde virgül, sıralı cümleleri birbirinden ayırmak için kullanılmıştır? | ✓Ders zili çaldı, öğrenciler bahçeye koştu.
tur-nk-115 | T.8.4.16 | z2 | k1 | Aşağıdakilerin hangisinin sonuna soru işareti konmaz? | ✓Güneş battı mı kuşlar ağaçlara dönerdi
tur-nk-116 | T.8.4.16 | z2 | k1 | Aşağıdaki cümlelerin hangisinde virgülün kullanımı yanlıştır? | ✓Hava güzel olursa, hafta sonu pikniğe gideri…
tur-nk-117 | T.8.4.16 | z2 | k1 | Aşağıdaki cümlelerin hangisinde kesme işaretinin kullanımı yanlıştır? | ✓Kardeşim her yıl Nisan’da doğum gününü kutla…
tur-nk-118 | T.8.4.16 | z2 | k1 | Fen dersinin başında öğretmenimiz tahtaya şu soruyu yazdı( ) Bir ağacın yaşını nasıl anlarız( ) Bu cümlede yay ayraçla ( ) göster… | ✓(:) (?)
tur-nk-119 | T.8.4.16 | z2 | k1 | Aşağıdaki cümlelerin hangisinde noktalama yanlışı vardır? | ✓Komşumuz “Kapınızın önüne bir paket bıraktım…
tur-nk-120 | T.8.4.16 | z2 | k1 | Kardeşim odasını çok güzel (!) topladığını söyledi. Yatağın altından üç tek çorap, iki boş kutu ve bir yarım elma çıktı. Bu metin… | ✓Söze alaycı bir anlam katmak
tur-nk-121 | T.8.4.16 | z2 | k1 | Yaşlı balıkçı denize uzun uzun baktı ve kendi kendine mırıldandı: “Bu dalgalar bana bir şey anlatıyor ama…” Bu metinde üç noktanı… | ✓Anlatımı tamamlanmamış cümlenin sonunda bulu…
tur-nk-122 | T.8.4.16 | z2 | k1 | Kasabanın tek sineması -yıllar önce bir un deposuymuş- geçen ay yeniden açıldı. Bu cümlede kısa çizgilerin görevi aşağıdakilerden… | ✓Ara sözü cümleden ayırmak
tur-nk-123 | T.8.4.16 | z2 | k1 | Bu, dedemin gençken çaldığı kemandır. Bu cümledeki virgül, aşağıdakilerin hangisindeki virgülle aynı görevde kullanılmıştır? | ✓O, sınıfın en sessiz ama en dikkatli öğrenci…
tur-nk-124 | T.8.4.16 | z2 | k1 | Aşağıdaki cümlelerin hangisinde noktanın kullanımı yanlıştır? | ✓Kayıtlar 3. Eylül 2027’de sona eriyor.
tur-nk-125 | T.8.4.16 | z2 | k1 | Bir öğrenci, yazdığı şiirin iki dizesini okul dergisinde yer kazanmak için tek satırda yazmak istiyor: Sabah olur, kuşlar öter da… | ✓(/)
tur-nk-201 | T.8.4.16 | z2 | k2 | Bu yaz yapacağımız gezinin listesinde üç şehir var( ) Sivas, Tokat ve Amasya( ) Sen hangisini daha çok merak ediyorsun( ) Bu meti… | ✓(:) (.) (?)
tur-nk-202 | T.8.4.16 | z2 | k2 | Aşağıdaki cümlelerin hangisinde noktalı virgülün kullanımı yanlıştır? | ✓Kardeşim; bu sabah okula yine geç kaldı.
tur-nk-203 | T.8.4.16 | z2 | k2 | (I) Gezimizi sınıf öğretmenimiz Aylin Hanım’la birlikte planlamıştık. (II) Otobüsümüz sabah erkenden yola çıktı ve öğleye doğru N… | ✓IV
tur-nk-204 | T.8.4.16 | z2 | k2 | Aşağıdaki cümlelerin hangisinde kısa çizginin kullanımı yanlıştır? | ✓Mahalledeki parka üç-beş çocuk gelmişti.
tur-nk-205 | T.8.4.16 | z2 | k2 | Akşam balkonda oturuyorduk. “Ne kadar güzel bir gün batımı( )” dedi annem. Sonra bana dönüp sordu: “Fotoğrafını çekmek ister misi… | ✓(!) (?)
tur-nk-206 | T.8.4.16 | z2 | k2 | Geçen yaz arkadaşlarım denize girerken ben hep kıyıda oturdum. Bu yıl kararımı verdim: Bu yaz yüzme öğreneceğim. Bu metinde iki n… | ✓Kendisinden sonra açıklama yapılacağını göst…
tur-nk-207 | T.8.4.16 | z2 | k2 | Aşağıdaki cümlelerin hangisinde virgülün kullanımı yanlıştır? | ✓Kapıyı açınca, içeriye serin bir rüzgâr dold…
tur-nk-208 | T.8.4.16 | z2 | k2 | Aşağıdaki cümlelerin hangisinde noktalama yanlışı vardır? | ✓Sınıfça “Yıldızların Sırrı”’nı izlemeye kara…
tur-nk-209 | T.8.4.16 | z2 | k2 | Müzede sergilenen el yazması kitabın 1640 ( ) yılında yazıldığı düşünülüyor. Kitabın hiçbir sayfasında tarih bulunmadığı için uzm… | ✓(?)
tur-nk-210 | T.8.4.16 | z2 | k2 | Aşağıdakilerin hangisinde noktalama yanlışı vardır? | ✓“— Yarın erken kalkmamız gerekiyor.” dedi ba…
tur-nk-211 | T.8.4.16 | z2 | k2 | Çocuklar, bu hafta sonu mahallede kitap, oyuncak ve kıyafet toplayacağız. Bu cümlede kullanılan virgüllerin görevleri sırasıyla a… | ✓Hitap sözünden sonra gelme / Eş görevli sözc…
tur-nk-212 | T.8.4.16 | z2 | k2 | Aşağıdaki cümlelerin hangisinde kesme işaretinin kullanımı yanlıştır? | ✓Sınıfımızda üç Ankara’lı öğrenci var.
tur-nk-213 | T.8.4.16 | z2 | k2 | Aşağıdaki cümlelerin hangisinde soru işaretinin kullanımı yanlıştır? | ✓Arkadaşının neden gelmediğini merak ediyorum?
