tur-pa-9001 | T.8.3.18 | z2 | k0 | Bir kentin sesleri, o kentin saatini tutar. Sabahın ilk ışığında simit tezgâhının tıkırtısı duyulur; öğleye doğru sesler kalabalı… | ✓Kentteki en yüksek ses vapur düdüğüdür.
tur-pa-9002 | T.8.3.17 | z2 | k0 | Eski ustalar, bir işi öğrenmenin yolunun önce seyretmekten geçtiğini söylerdi. Çırak aylarca yalnızca bakar, elini sürmezdi. Bugü… | ✓Gözlemle öğrenilen bilgi kalıcı olur.
tur-pa-9003 | T.8.3.21 | z3 | k0 | Kitaplığımda yıllardır okumadığım kitaplar var. Kimi zaman birini elime alır, sayfalarını çevirir, sonra yerine koyarım. Onları o… | ✓Kitapların yalnızca okunmak için var olmadığ…
tur-pa-9004 | T.8.3.19 | z2 | k0 | (I) Arılar çiçekten çiçeğe konarken yalnızca kendileri için çalışmaz. (II) Taşıdıkları polen, bitkilerin çoğalmasını sağlar. (III… | ✓III
tur-pa-9005 | T.8.3.16 | z3 | k0 | Haritalar, dünyayı olduğu gibi göstermez; gösteremez de. Yuvarlak bir yüzeyi düz kâğıda aktarırken bir şeyi bozmak zorunda kalırs… | ✓Her Haritanın Bir Tercihi Vardır
tur-pa-101 | T.8.3.16 | z1 | k0 | Okulumuzun kütüphanesinde kitaplar yalnızca raflarda beklemiyor. Her ayın ilk haftasında bir raf boşaltılıyor; o rafa, öğrenciler… | ✓Öğrencilerin seçtiği kitaplara okur notu bır…
tur-pa-102 | T.8.3.17 | z1 | k0 | Antrenörümüz ilk derste bize şunu söyledi: “Burada kimse en hızlı koşan olmak zorunda değil; herkes dünkü hâlinden bir adım ileri… | ✓Gelişimin ölçüsü, kişinin kendi önceki durum…
tur-pa-103 | T.8.3.19 | z1 | k0 | Balkondaki saksılara bu yıl fesleğen ektik. İlk günlerde her sabah bolca su verdim; yapraklar sarardı. Komşumuz, toprağın üstünü … | ✓Suyun Fazlası da Zarar
tur-pa-104 | T.8.3.18 | z1 | k0 | Okulun karşısındaki kırtasiyede defterler boya kalemlerinin yanında değil, kâğıt cinsine göre diziliyor. Çizgili defterler bir ra… | ✓Defterlerin fiyatlarının uygun olduğuna
tur-pa-105 | T.8.3.11 | z1 | k0 | Tencerenin kapağını kaldırınca mutfağı ılık bir buhar kapladı. Nohutlar dipte, koyu kırmızı bir sosun içinde usul usul kabarıyord… | ✓Betimleme
tur-pa-106 | T.8.3.34 | z1 | k0 | Bir çalgıyı öğrenmek, insana sabrı da öğretir. Gitara yeni başlayan biri, ilk haftalarda parmak uçlarının acımasına katlanır. Kem… | ✓Örneklendirme
tur-pa-107 | T.8.3.21 | z2 | k0 | (I) Bu hafta şehrimizde sıcaklıklar mevsim normallerinin üzerinde seyredecek. (II) Çarşamba günü en yüksek sıcaklığın 28 dereceye… | ✓IV
tur-pa-108 | T.8.3.18 | z2 | k0 | Sınıfımızda bu yıl “sessiz on dakika” diye bir uygulama başladı. Her sabah ilk dersin başında on dakika boyunca kimse konuşmuyor;… | ✓Uygulamanın okuldaki başka sınıflara da yayı…
tur-pa-109 | T.8.3.17 | z2 | k0 | Evimizde pazar sabahları telefonlar bir sepete konur. Sepet, salondaki sehpanın altında durur; kahvaltı bitene kadar kimse ona uz… | ✓Telefonlardan uzak kalınan kısa süreler aile…
tur-pa-110 | T.8.3.18 | z2 | k0 | Okul kütüphanemiz, her dönemin sonunda ödünç verilen kitapların sayısını türlere göre açıklıyor. Bu dönem roman, geçen dönemde ol… | ✓Bilim kitapları ikinci dönemde öyküden çok a…
tur-pa-111 | T.8.3.34 | z2 | k0 | Ekmek yapmanın iki yolu vardır. Maya ile yapılan ekmekte hamur saatlerce dinlendirilir; gözenekler yavaş yavaş oluşur, kabuk ince… | ✓Karşılaştırma
tur-pa-112 | T.8.3.21 | z2 | k0 | Voleybol antrenmanı bittiğinde salonda yalnızca Deniz kalmıştı. Topu alıp servis çizgisine geçti; on servis attı, dokuzu ağa takı… | ✓Deniz'in çalışmayı sürdürmesine izin verdiği
tur-pa-201 | T.8.3.19 | z2 | k0 | Kalem kutumu her eylülde yeniden düzenlerim. Önce içindekileri masaya boşaltırım: kurumuş keçeli kalemler, ucu kırık kurşun kalem… | ✓Kalem Kutusundaki Gizli Dağınıklık
tur-pa-202 | T.8.3.16 | z2 | k0 | (I) Okulun arka bahçesindeki küçük tarhı bu yıl 7-B sınıfı üstlendi. (II) Önce toprağı belleyip taşlardan ayıkladılar. (III) Sonr… | ✓V
tur-pa-203 | T.8.3.11 | z2 | k0 | Kapıyı açtığımda annem mutfaktan seslendi. Elimdeki poşetleri tezgâha bıraktım, ceketimi askıya astım. O sırada kardeşim odasında… | ✓Öyküleme
tur-pa-204 | T.8.3.18 | z2 | k0 | Sınıfımızda hangi çalgıyı öğrenmek istediğimizi sorduk; yirmi sekiz kişinin yanıtını bir grafiğe döktük. Sonuç bizi şaşırtmadı: G… | ✓Gitarı seçenler, piyano ve keman seçenlerin …
tur-pa-205 | T.8.3.21 | z2 | k0 | Sınıfta her konuyu ilk anlayan ben değilim. Ama not tutarken şunu fark ettim: Öğretmenin tahtaya yazdığı üç beş sözcük, defterimd… | ✓Kendi öğrenme yöntemini deneyerek geliştirdi…
