fen-kl-101 | F.8.2.2.1 | z1 | k1 | Bir canlıda genlerin etkisiyle ortaya çıkan; çiçek rengi, tohum şekli, boy uzunluğu gibi gözlenebilen özelliklerin tümüne ne ad v… | ✓Fenotip
fen-kl-102 | F.8.2.2.1 | z1 | k1 | Bir bezelye bitkisinin tohum rengi için taşıdığı gen çifti Ss harfleriyle gösterilmiştir. Buna göre Ss gösterimi bu bitkinin aşağ… | ✓Genotipini
fen-kl-103 | F.8.2.2.1 | z1 | k1 | Bezelyede yuvarlak tohum geni Y, buruşuk tohum geni y harfiyle gösterilmektedir. Buna göre aşağıdakilerin hangisinde verilen iki … | ✓YY ve yy
fen-kl-104 | F.8.2.2.1 | z1 | k1 | Mor çiçekli melez bir bezelye bitkisi, beyaz çiçek genini taşıdığı hâlde mor çiçek açar. Bu bitkide çiçeklerin mor renkte olmasın… | ✓Baskın gen
fen-kl-105 | F.8.2.2.1 | z1 | k1 | Bezelyede buruşuk tohum şekli çekinik bir özelliktir. Bir bezelye bitkisinin tohumlarının buruşuk olması için bu karakteri belirl… | ✓Gen çifti tamamen çekinik genlerden oluşmalı…
fen-kl-106 | F.8.2.2.2 | z1 | k1 | İnsanda doğacak çocuğun kız ya da erkek olmasını aşağıdakilerden hangisi belirler? | ✓Babadan gelen eşey kromozomu
fen-kl-107 | F.8.2.2.2 | z1 | k1 | Mendel, kalıtımla ilgili deneylerinde bezelye bitkisini kullanmıştır. Aşağıdakilerden hangisi Mendel'in bezelyeyi seçmesinin nede… | ✓Karakterlerinin çok sayıda ara biçim gösterm…
fen-kl-108 | F.8.2.2.2 | z1 | k1 | Mendel, bezelyelerde karakterlerin atalardan yavrulara nasıl aktarıldığını incelemiştir. Mendel'in bu çalışmalarından elde edilen… | ✓Karakterlerin aktarımı insan ve hayvanlarda …
fen-kl-109 | F.8.2.2.1 | z1 | k1 | Bezelyede uzun boy geni (U), kısa boy genine (u) baskındır. Buna göre genotipi Uu olan bir bezelye bitkisinin fenotipi aşağıdakil… | ✓Uzun boylu
fen-kl-110 | F.8.2.2.2 | z1 | k1 | Bezelyede sarı tohum geni (S), yeşil tohum genine (s) baskındır. Genotipi SS olan bir bitki, genotipi ss olan bir bitkiyle çapraz… | ✓Ss – sarı
fen-kl-111 | F.8.2.2.2 | z1 | k1 | İnsanda anneden çocuğa aktarılan eşey kromozomuyla ilgili aşağıdakilerden hangisi doğrudur? | ✓Çocuk kız da olsa erkek de olsa her zaman X …
