din-u1-101 | 8.1.1 | z1 | k1 | Fen dersinde suyun deniz seviyesinde her zaman 100 °C'de kaynadığını öğrenen Yusuf, din dersinde bu değişmez düzenin bir kavramla… | ✓Sünnetullah
din-u1-102 | 8.1.1 | z1 | k1 | Din dersinde öğretmen tahtaya "kader" ve "kaza" sözcüklerini yazmış, öğrencilerden aralarındaki farkı açıklamalarını istemiştir. … | ✓Allah'ın belirlediği şeylerin zamanı gelince…
din-u1-103 | 8.1.2 | z1 | k1 | Din dersinde öğretmen, insanın kendi seçimine bırakılan durumlarla bırakılmayan durumları ayırt etmelerini istemiştir. Buna göre … | ✓Hangi mesleği seçip hangi alanda çalışacağı
din-u1-104 | 8.1.3 | z1 | k1 | Sınavı yaklaşan Bilge, arkadaşlarına "Ben tevekkül ediyorum." demiştir. Bilge'nin tevekkülü doğru anladığını gösteren davranış aş… | ✓Düzenli çalışıp sınava girmek ve sonucu Alla…
din-u1-105 | 8.1.4 | z1 | k1 | Sınav sonucu açıklandığında hedeflediği puana ulaşamayan Kaan, arkadaşlarına bir şeyler söylemiştir. Kaan'ın aşağıdaki sözlerinde… | ✓"Hedefime ulaşamadım; kara bahtım yine yakam…
din-u1-106 | 8.1.1 | z2 | k1 | Din dersinde öğretmen, "Allah'ın evrene koyduğu değişmez yasalara sünnetullah denir." demiş ve öğrencilerden günlük hayattan örne… | ✓Mert
din-u1-107 | 8.1.2 | z2 | k1 | Akşam sofrasında Emir babasına, "Her şeyi Allah yarattığına göre benim yaptıklarımda benim payım ne?" diye sormuştur. Babası şöyl… | ✓İnsan, kendi seçimlerinin sorumluluğunu kend…
din-u1-108 | 8.1.3 | z2 | k1 | Dedesiyle pazara giden Mert, sabahın erken saatinde tezgâh kurup mallarını dizen satıcıları izlemiştir. Dedesi ona şu hadis meali… | ✓İnsan için en hayırlı kazanç, kendi emeğiyle…
din-u1-109 | 8.1.3 | z2 | k1 | Ninesinin doksanıncı yaş gününü kutlayan Ceren, "Ninem çok uzun yaşamış." demiştir. Annesi ona, ömür ile ecel kavramlarının birbi… | ✓Ömür yaşanan sürenin tamamı, ecel o sürenin …
din-u1-110 | 8.1.4 | z2 | k1 | Bir inşaatta çalışan Rıza Usta, yukarıdan düşen bir tuğla nedeniyle başından yaralanmıştır. İş yerinde kaza günü güvenlik tedbirl… | ✓Alınmayan güvenlik tedbirlerinin sorumluluğu…
din-u1-201 | 8.1.1 | z2 | k2 | Din dersinde öğretmen, sınıf panosuna aşağıdaki ayet meallerini asmıştır. Öğretmenin bu ayet meallerinden ulaşmak istediği ortak … | ✓Evrendeki her şey Allah'ın koyduğu bir ölçü …
din-u1-202 | 8.1.2 | z2 | k2 | Din dersinde öğretmen, insanın sorumluluğunu anlatırken şu ayet mealini okumuştur: "Allah, bir kimseyi ancak gücünün yettiği şeyl… | ✓I ve III
din-u1-203 | 8.1.3 | z2 | k2 | Okulun basketbol takımına seçilme denemesinde Doruk takıma alınmamış, arkadaşı Eren alınmıştır. Doruk, "Benim şansım hiç yaver gi… | ✓Başarısızlığının nedenini emeğinde değil şan…
din-u1-204 | 8.1.4 | z2 | k2 | Elif'in iş görüşmesinden olumsuz haberle dönen teyzesi ile babaannesinin akşam yaptığı konuşmadan bir bölüm tabloda verilmiştir. … | ✓Sonucu değişmez bir talihe değil, çabaya ve …
din-u1-205 | 8.1.6 | z2 | k2 | Yatmadan önce Ayet el-Kürsi'yi okuyan ninesine Selin, "Bu ayette ne anlatılıyor?" diye sormuştur. Ninesi ayetin mealinden şu bölü… | ✓Sürekli diri olması ve göklerle yerin sahibi…
