tur-sa-101 | T.8.3.5 | z1 | k1 | "Kalp" sözcüğü aşağıdaki cümlelerin hangisinde gerçek anlamıyla kullanılmıştır? | ✓Koşudan sonra kalbim hızlı hızlı atıyordu.
tur-sa-102 | T.8.3.5 | z1 | k1 | "Soğuk" sözcüğü aşağıdaki cümlelerin hangisinde mecaz anlamıyla kullanılmıştır? | ✓Sınıfa yeni gelen öğrenci bize soğuk davrand…
tur-sa-103 | T.8.3.5 | z1 | k1 | "Açı" sözcüğü aşağıdaki cümlelerin hangisinde bir bilim dalına özgü terim anlamıyla kullanılmıştır? | ✓Bir üçgenin iç açılarının ölçüleri toplamı 1…
tur-sa-104 | T.8.3.5 | z1 | k1 | Aşağıdaki cümlelerin hangisinde eş anlamlı iki sözcük birlikte kullanılmıştır? | ✓Kentin eski sokaklarını gezmek bana bu şehri…
tur-sa-105 | T.8.3.5 | z1 | k1 | "Yaz" sözcüğü aşağıdaki cümlelerin hangisinde ötekilerden farklı bir anlamda kullanılmıştır? | ✓Adını defterin kapağına büyük harflerle yaz.
tur-sa-106 | T.8.3.5 | z1 | k1 | Dedem, onca ödül almasına rağmen başarılarından söz etmeyen, mütevazı bir insandı. Bu cümlede altı çizili sözcüğün anlamı aşağıda… | ✓alçak gönüllü
tur-sa-107 | T.8.3.6 | z1 | k1 | Kardeşim, aylardır beklediği bisikletin kapıya geldiğini görünce etekleri zil çaldı. Bu cümlede altı çizili deyimle anlatılmak is… | ✓çok sevinmek
tur-sa-108 | T.8.3.6 | z1 | k1 | "Damlaya damlaya göl olur." atasözüyle anlatılmak istenen aşağıdakilerden hangisidir? | ✓Küçük birikimler zamanla büyük bir sonuç doğ…
tur-sa-109 | T.8.3.5 | z1 | k1 | Komşumuz geçen kış ağır bir hastalık geçirdiği için bahçesiyle ilgilenemedi. Bu cümlede altı çizili sözcük hangi anlamda kullanıl… | ✓ciddi, tehlikeli
tur-sa-110 | T.8.3.6 | z1 | k1 | Aşağıdaki cümlelerin hangisinde bir deyim kullanılmıştır? | ✓Kardeşim sürpriz partiyi yanlışlıkla ağzında…
tur-sa-111 | T.8.3.5 | z1 | k1 | Aşağıdaki cümlelerin hangisinde zıt anlamlı iki sözcük bir arada kullanılmıştır? | ✓Mahalle şenliğine yaşlı genç herkes katıldı.
tur-sa-112 | T.8.3.5 | z1 | k1 | Annem, fincanları taşınmadan önce gazeteye sardı, aralarına pamuk koydu ve kutuya büyük bir itinayla yerleştirdi. Bu cümlede altı… | ✓özen
tur-sa-113 | T.8.3.5 | z2 | k1 | Mutfağa girdiğimde annem beni sıcak bir gülümsemeyle karşıladı. Tezgâhta taze ekmekler duruyordu. Kahvaltıdan sonra kalın ceketim… | ✓sıcak
tur-sa-114 | T.8.3.5 | z2 | k1 | Bahçenin köşesinde, babamla eski tahtalar ve paslı çivilerle yaptığımız derme çatma bir kulübe vardı. Her yağmurdan sonra çatısı … | ✓eldeki malzemeyle özensizce yapılmış
tur-sa-115 | T.8.3.5 | z2 | k1 | Kasabamızın eski kütüphanesi yıllarca kapalı kaldı. Geçen ay yapılan onarımla duvarlar boyandı, raflar yenilendi. Açılış günü gel… | ✓konuklara
tur-sa-116 | T.8.3.6 | z2 | k1 | Antrenör, maçtan önce hepimize tek bir hatanın oyunun sonucunu belirlemeyeceğini söyledi. Ama ilk yarıda kaçırdığı penaltıyı - - … | ✓kafasına takan
tur-sa-117 | T.8.3.6 | z2 | k1 | Babaannem, eskiyen giysilerin düğmelerini söküp bir kavanozda biriktirirdi. Biz de bu alışkanlığına gülerdik. Geçen hafta okul gö… | ✓Sakla samanı, gelir zamanı.
tur-sa-118 | T.8.3.5 | z2 | k1 | "Çıkmak" sözcüğü aşağıdaki cümlelerin hangisinde "görünür hâle gelmek, belirmek" anlamında kullanılmıştır? | ✓Yağmur dinince gökyüzünde renkli bir gökkuşa…
tur-sa-119 | T.8.3.5 | z2 | k1 | Fen dersinde sınıfta derin bir sessizlik vardı. Öğretmenimiz berrak suyla dolu bir bardağa bir kaşık şeker ekleyip karıştırdı. Şe… | ✓çözelti
tur-sa-120 | T.8.3.5 | z2 | k1 | (I) Otobüs öyle doluydu ki ayakta duracak yer bulamadık. (II) Kütüphanenin rafları yeni gelen kitaplarla doluydu. (III) Kardeşimi… | ✓IV
