tur-gg-101 | T.8.3.32 | z1 | k1 | Aşağıdaki grafikte bir okul kütüphanesinden bir hafta boyunca ödünç alınan kitap sayıları gösterilmiştir. Bu grafiğe göre aşağıda… | ✓Çarşamba günü ödünç alınan kitap sayısı en a…
tur-gg-102 | T.8.3.27 | z1 | k1 | Aşağıda bir mahallede asılan afiş verilmiştir. Bu afişe göre etkinliğe katılacak kişilerden yanlarında getirmeleri istenen şey ha… | ✓Eldiven
tur-gg-103 | T.8.3.32 | z1 | k1 | Aşağıdaki çizelgede bir gençlik merkezinin haftalık kurs programı verilmiştir. Bu çizelgeye göre satranç kursu hangi günlerde yap… | ✓Salı ve Perşembe
tur-gg-104 | T.8.3.27 | z1 | k1 | Aşağıda bir karikatür verilmiştir. Bu karikatürde eleştirilen durum aşağıdakilerden hangisidir? | ✓Telefonu kendinden çok önemsemek
tur-gg-105 | T.8.3.32 | z1 | k1 | Aşağıdaki grafikte bir sınıftaki öğrencilerin okula geliş biçimleri gösterilmiştir. Bu grafiğe göre sınıftaki öğrencilerin dörtte… | ✓Servisle
tur-gg-106 | T.8.3.27 | z1 | k1 | Aşağıda bir okulun panosuna asılan duyuru verilmiştir. Bu duyuruya göre kermesten elde edilecek gelir ne için kullanılacaktır? | ✓Köy okuluna kitap almak için
tur-gg-107 | T.8.3.32 | z1 | k1 | Aşağıdaki grafikte bir ilçede beş ay boyunca kaydedilen yağışlı gün sayıları gösterilmiştir. Bu grafiğe göre aşağıdakilerden hang… | ✓Yağışlı gün sayısı Ocak’tan Mayıs’a her ay a…
tur-gg-108 | T.8.3.27 | z1 | k1 | Aşağıda iki karelik bir çizgi roman verilmiştir. Bu çizgi romanın ikinci karesinden aşağıdakilerden hangisi anlaşılmaktadır? | ✓Kız, planını tamamlayamadan uyumuştur.
tur-gg-109 | T.8.3.32 | z1 | k1 | Aşağıdaki tabloda 14 numaralı otobüs hattının Okul durağından kalkış saatleri verilmiştir. Bu tabloya göre aşağıdakilerden hangis… | ✓Pazar günü bu hatta hiç sefer yapılmaz.
tur-gg-110 | T.8.3.27 | z1 | k1 | Aşağıda bir sağlık ocağının bekleme salonunda asılı bilgi görseli verilmiştir. Bu bilgi görseline göre diş fırçası ne sıklıkla de… | ✓Üç ayda bir
tur-gg-111 | T.8.3.32 | z1 | k1 | Aşağıdaki grafikte bir okuma yarışmasında dört sınıfın okuduğu kitap sayıları gösterilmiştir. Bu grafiğe göre 8-B ve 8-C sınıflar… | ✓25
tur-gg-112 | T.8.3.27 | z1 | k1 | Aşağıda bir okulun resim yarışması afişi verilmiştir. Bu afişe göre aşağıdaki öğrencilerden hangisi yarışmaya katılabilir? | ✓Mahallesindeki pazarı çizen 7. sınıf öğrenci…
tur-gg-113 | T.8.3.32 | z2 | k1 | Ayşe, okul bahçesine diktiği fidanın boyunu beş hafta boyunca her hafta sonunda ölçmüş ve sonuçları aşağıdaki grafikte göstermişt… | ✓3. ve 4. hafta
tur-gg-114 | T.8.3.27 | z2 | k1 | Aşağıda üç karelik bir çizgi roman verilmiştir. Bu çizgi romanda vurgulanmak istenen düşünce aşağıdakilerden hangisidir? | ✓Başkasının işini onun yerine yapmak, öğrenme…
tur-gg-115 | T.8.3.32 | z2 | k1 | Aşağıdaki tabloda bir mahalledeki dört satış yerinde elma ve sütün fiyatları verilmiştir. Efe, 1 kg elma ile 1 L sütü aynı yerden… | ✓Semt pazarı
tur-gg-116 | T.8.3.27 | z2 | k1 | Aşağıda bir gözlem kulübünün hazırladığı afiş verilmiştir. Bu afişe dayanarak aşağıdakilerden hangisi söylenemez? | ✓Etkinlik, hava nasıl olursa olsun 14 Ağustos…
tur-gg-117 | T.8.3.32 | z2 | k1 | Aşağıdaki grafikte 8-A ve 8-B sınıflarındaki öğrencilerin kulüp tercihleri gösterilmiştir. Bu grafiğe göre hangi kulübü seçen öğr… | ✓Drama
tur-gg-118 | T.8.3.27 | z2 | k1 | Aşağıda bir karikatür verilmiştir. Bu karikatürde eleştirilen tutum aşağıdakilerden hangisidir? | ✓Savunduğu düşünceyle çelişen bir davranışta …
tur-gg-119 | T.8.3.32 | z2 | k1 | Bir okulun sınıf kitaplığında 240 kitap vardır. Bu kitapların türlere göre dağılımı aşağıdaki grafikte gösterilmiştir. Buna göre … | ✓96
tur-gg-120 | T.8.3.27 | z2 | k1 | Aşağıdaki bilgi görseli, dört kişilik bir ailenin bir günde hangi işler için ne kadar su kullandığını göstermektedir. Bu bilgi gö… | ✓Tuvalette kullanılan su, toplam kullanımın d…
tur-gg-121 | T.8.3.32 | z2 | k1 | Ela, bir hafta boyunca her gece kaç saat uyuduğunu aşağıdaki tabloya yazmış, sonra şu notları almıştır: (I) Bu hafta en az Perşem… | ✓IV
tur-gg-122 | T.8.3.32 | z2 | k1 | Aşağıdaki grafikte bir fırında hafta içi günlerde satılan simit sayıları gösterilmiştir. Bu grafikten aşağıdaki yargıların hangis… | ✓Simitlerin çoğu sabahın erken saatlerinde sa…
tur-gg-123 | T.8.3.27 | z2 | k1 | Aşağıda iki karelik bir çizgi roman verilmiştir. Bu çizgi romanda çocuğun davranışıyla ilgili aşağıdakilerden hangisi söylenebili… | ✓Eşyaları toplamak yerine yalnızca gözden sak…
tur-gg-124 | T.8.3.32 | z2 | k1 | Zeynep, Cumartesi günü saat 18.30'da bir kütüphanede ders çalışmak istemektedir. Aşağıdaki tabloda ilçedeki dört kütüphanenin çal… | ✓Kuleli
tur-gg-125 | T.8.3.27 | z2 | k1 | Bir okulda kulüp duyuruları için şu kural konmuştur: "Her duyuruda etkinliğin adı, tarihi, yeri ve etkinliğe kimlerin katılabilec… | ✓I
tur-gg-201 | T.8.3.32 | z2 | k2 | Aşağıdaki grafikte bir okul kantininde bir günde satılan ürünlerin sayıları gösterilmiştir. Bu grafikten aşağıdaki yargıların han… | ✓Satılan tost sayısı, satılan ayran sayısının…
tur-gg-202 | T.8.3.27 | z2 | k2 | Aşağıda bir bisiklet turunun afişi verilmiştir. Tura katılmak isteyen herkes kaskını takmış olarak başlangıç noktasına gelmiştir.… | ✓Babasıyla gelen 9 yaşındaki Doruk
tur-gg-203 | T.8.3.32 | z2 | k2 | Aşağıdaki grafikte bir kıyı ilçesi ile bir yayla ilçesinin aylık ortalama sıcaklıkları gösterilmiştir. Bu grafiğe göre iki ilçeni… | ✓Şubat
tur-gg-204 | T.8.3.27 | z2 | k2 | Aşağıda bir karikatür verilmiştir. Bu karikatürle verilmek istenen mesaj aşağıdakilerden hangisidir? | ✓Herkesin tek başına araç kullanması trafiği …
tur-gg-205 | T.8.3.32 | z2 | k2 | Aşağıdaki tabloda okuma kulübündeki dört öğrencinin dört hafta boyunca okuduğu sayfa sayıları verilmiştir. Bu tabloya göre her ha… | ✓Beril
tur-gg-206 | T.8.3.27 | z2 | k2 | Aşağıda üç karelik bir çizgi roman verilmiştir. Bu çizgi romandan aşağıdakilerden hangisine ulaşılabilir? | ✓Çocuk, istediği şeye düzenli biriktirerek ul…
tur-gg-207 | T.8.3.32 | z2 | k2 | Sude, hava tahminine bakarak piknik günü seçecektir. Yağış beklenmeyen günler arasından en sıcak olanını seçmek istemektedir. Aşa… | ✓Pazar
tur-gg-208 | T.8.3.27 | z2 | k2 | Aşağıdaki bilgi görseli, bir okulun koridorundaki atık kutularının hangi atıklar için kullanılacağını göstermektedir. Bu bilgi gö… | ✓Konserve kutusu → Gri kutu
tur-gg-209 | T.8.3.32 | z2 | k2 | Aşağıdaki grafikte bir bilim merkezini üç ay boyunca ziyaret eden öğrenci ve yetişkin sayıları gösterilmiştir. Bu grafikten aşağı… | ✓Kasım’da gelen öğrencilerin çoğu okul gezisi…
tur-gg-210 | T.8.3.32 | z2 | k2 | Bir okulun gazetesinde şu haber yer almıştır: "Okulumuzda Aralık ayında 1200 kilovatsaat elektrik harcanmıştı. Ocak'ta başlayan '… | ✓Şubat
tur-gg-211 | T.8.3.27 | z2 | k2 | Aşağıda bir mahalle kültür evinin hazırladığı afiş verilmiştir. Bu afişte aşağıdaki soruların hangisinin cevabı yoktur? | ✓Etkinliğe en fazla kaç kitap getirilebilir?
tur-gg-212 | T.8.3.32 | z2 | k2 | Bir yüzme havuzunun görevlisi, gün boyunca iki saatte bir havuzdaki kişi sayısını saymış ve sonuçları aşağıdaki grafikte göstermi… | ✓08.00, 16.00 ve 20.00
tur-gg-213 | T.8.3.32 | z2 | k2 | Aşağıdaki çizelgede Toprak'ın okul sonrası etkinlikleri gösterilmiştir. İşaretli kutular, o gün o etkinliğe katıldığını belirtmek… | ✓Pazartesi, Çarşamba ve Perşembe
tur-gg-214 | T.8.3.32 | z3 | k2 | Bir fidanlıkta çam, meşe, ıhlamur ve akasya olmak üzere dört tür fidan yetiştirilmektedir. Fidanlıkta en çok bulunan fidan çamdır… | ✓IV
tur-gg-215 | T.8.3.32 | z3 | k2 | Bir spor kulübüne 2024 yılında 200, 2025 yılında 300 çocuk kayıtlıdır. Aşağıdaki grafiklerde bu çocukların yüzme, futbol ve jimna… | ✓Jimnastik branşındaki çocuk sayısı 2025’te 4…
tur-gg-216 | T.8.3.27 | z3 | k2 | Aşağıda bir karikatür verilmiştir. Karikatürdeki kişi, dört ekrandan aynı anda gelen başlıklara bakmaktadır. Bu karikatürde asıl … | ✓Çelişen bilgilerin bolluğu, karar vermeyi zo…
tur-gg-217 | T.8.3.32 | z3 | k2 | Yılmaz ailesi hafta sonu kampa gidecektir. Aile, köpekleri Pamuk'u da yanlarında götürecektir. Kamp alanının şehre en fazla 60 km… | ✓Çamlıdere
tur-gg-218 | T.8.3.27 | z3 | k2 | Aşağıda üç karelik bir çizgi roman verilmiştir. Bu çizgi romanda anlatılmak istenen düşünce aşağıdakilerden hangisidir? | ✓Başarısızlık, emekle başarıya dönüştürülebil…
