fen-ik-101 | F.8.1.2.1 | z1 | k1 | Aşağıdakilerden hangisi bir hava olayına örnektir? | ✓Rize'ye bugün öğleden sonra sağanak yağış dü…
fen-ik-102 | F.8.1.2.2 | z1 | k1 | Bir bilim dalı, bir bölgenin otuz yılı aşan ölçüm kayıtlarını inceleyerek o bölgenin genel hava koşullarını ortaya koyar. Bu bili… | ✓İklim bilimi — iklim bilimci
fen-ik-103 | F.8.1.2.1 | z1 | k1 | Aşağıdaki cümlede bir kavramın adı boş bırakılmıştır. Bir yerde günlük olarak gözlenen sıcaklık değişimi, yağış ve rüzgâr gibi kı… | ✓hava olayları
fen-ik-104 | F.8.1.2.1 | z1 | k1 | İklim ile ilgili aşağıdakilerden hangisi doğrudur? | ✓Uzun yıllara ait ortalamalarla belirlenir.
fen-ik-105 | F.8.1.2.1 | z1 | k1 | Grafikte bir ilimizin 1991-2020 yılları arasında ölçülen aylık ortalama sıcaklıkları verilmiştir. Buna göre bu grafikteki veriler… | ✓İlin iklimi hakkında
fen-ik-106 | F.8.1.2.2 | z1 | k1 | Bir uzman televizyonda şu açıklamayı yapmıştır: "Yarın öğleden sonra kentin kuzey ilçelerinde sağanak yağış bekliyoruz; dışarı çı… | ✓Meteorolog — hava olayı
fen-ik-107 | F.8.1.2.1 | z1 | k1 | Aşağıdakilerden hangisi küresel iklim değişikliğinin gözlenen sonuçlarından biridir? | ✓Buzulların erimesiyle deniz seviyesinin yüks…
fen-ik-108 | F.8.1.2.1 | z1 | k1 | Bir haber sitesinde bir ilimiz için aşağıdaki tablo yayımlanmıştır. Buna göre bu tablodaki bilgiler için aşağıdakilerden hangisi … | ✓İlin hava olaylarını gösterir; kısa süreli ö…
fen-ik-109 | F.8.1.2.2 | z1 | k1 | Aşağıdaki sorulardan biri bir iklim bilimcinin, diğerleri ise bir meteoroloğun yanıt aradığı sorulardır. Buna göre aşağıdakilerde… | ✓Son yüz yılda ülkemizin ortalama sıcaklığı n…
fen-ik-110 | F.8.1.2.1 | z1 | k1 | Tabloda iki ilimizin uzun yıllar ortalaması olarak hesaplanan sıcaklık ve yağış değerleri verilmiştir. Buna göre aşağıdakilerden … | ✓Rize'nin iklimi Konya'nın iklimine göre daha…
fen-ik-111 | F.8.1.2.1 | z1 | k1 | Bir öğretmen tahtaya iki kart asmıştır. Buna göre bu kartlarla ilgili aşağıdakilerden hangisi doğrudur? | ✓I. kart hava olayını, II. kart iklimi anlatm…
fen-ik-112 | F.8.1.2.2 | z1 | k1 | İklim bilimi ile ilgili aşağıdakilerden hangisi yanlıştır? | ✓Yalnızca ertesi günün hava durumunu tahmin e…
fen-ik-113 | F.8.1.2.1 | z2 | k1 | Elif, bir ilimizle ilgili üç bilgiyi defterine not etmiştir. I. Bugün öğleden sonra sıcaklık 31 °C'ye ulaştı. II. Bu ilde yazlar … | ✓II ve III
fen-ik-114 | F.8.1.2.2 | z2 | k1 | Bir araştırma merkezinde çalışanlara verilen dört görev tabloda listelenmiştir. Buna göre bu görevlerden hangisi bir iklim bilimc… | ✓2. görev
fen-ik-115 | F.8.1.2.1 | z2 | k1 | Grafikte bir ilimizin uzun yıllar ortalaması olarak hesaplanan mevsimlik yağış miktarları verilmiştir. Buna göre bu ilin iklimi i… | ✓Yaz dışındaki bütün mevsimlerde 150 mm'den ç…
fen-ik-116 | F.8.1.2.1 | z2 | k1 | Bir öğretmen tahtaya şu cümleyi yazmıştır: "Bu yıl kışın kentimize çok az kar yağdı." Öğrenciler cümle üzerine konuşmuştur: Bora:… | ✓Yalnız Bora
fen-ik-117 | F.8.1.2.2 | z2 | k1 | Bir iklim bilimci, çalıştığı bölgenin iklimindeki değişimi araştırmaktadır. Elinde şu veriler vardır: I. Son 70 yıla ait yıllık o… | ✓I ve III
fen-ik-118 | F.8.1.2.1 | z2 | k1 | Bir kentin nisan ayı ortalama sıcaklığı uzun yıllar için 14 °C olarak hesaplanmıştır. Bu yılın nisan ayında da ortalama tam olara… | ✓Ortalama uzun yıllık değere eşit çıksa da gü…
fen-ik-119 | F.8.1.2.1 | z2 | k1 | Şemada bir meteoroloji istasyonunda toplanan ölçümlerin nasıl kullanıldığı gösterilmiştir. Buna göre şemada "?" ile gösterilen ku… | ✓Kentin iklim özellikleri
fen-ik-120 | F.8.1.2.1 | z2 | k1 | Tabloda bir kentte tek bir gün boyunca farklı saatlerde ölçülen sıcaklık değerleri verilmiştir. Buna göre bu ölçümler için aşağıd… | ✓Kentin o gününe ait hava olaylarını gösterir…
fen-ik-121 | F.8.1.2.1 | z2 | k1 | Aşağıdaki metinde iki kavramın adı boş bırakılmıştır. Bir meteoroloji istasyonunda otuz yıl boyunca ölçülen sıcaklık ve yağış değ… | ✓iklim — hava durumu
fen-ik-122 | F.8.1.2.2 | z2 | k1 | Bir iklim bilimci ile bir meteorolog hakkında üç yargı veriliyor. I. İklim bilimci, verilerini kendi kurduğu ayrı bir ölçüm ağınd… | ✓II ve III
fen-ik-123 | F.8.1.2.1 | z2 | k1 | Bir kentte 2024 yılının ortalama sıcaklığı 15,8 °C ölçülmüştür. Kentin 1991-2020 dönemine ait yıllık ortalama sıcaklığı ise 14,9 … | ✓Yalnız II
fen-ik-124 | F.8.1.2.1 | z2 | k1 | Bir öğrenci, yaşadığı kentle ilgili üç bilgiyi tabloya yazmıştır. Buna göre bu bilgilerin kavramlarla eşleştirilmesi aşağıdakiler… | ✓K: iklim — L: hava olayı — M: iklim
fen-ik-125 | F.8.1.2.1 | z2 | k1 | Bir bilim dergisinde, Dünya genelinde ortalama sıcaklıkların son yüzyılda arttığı ve bu artışın sürdüğü belirtilmiştir. Bunun üze… | ✓Kutup buzullarının kapladığı alanın genişlem…
fen-ik-201 | F.8.1.2.1 | z2 | k2 | Bir yerel gazetenin köşe yazarı şunları yazmıştır: "Çocukluğumda okullar açılınca çantamızın yanında şemsiye taşırdık; ekim yağmu… | ✓Yazar tek bir ekim ayını anılarıyla karşılaş…
fen-ik-202 | F.8.1.2.1 | z2 | k2 | Bir havalimanında görev yapan uzmanların hazırladığı raporlardan üç alıntı verilmiştir. I. "Bugün saat 15.00'te pistte rüzgâr hız… | ✓Yalnız II
fen-ik-203 | F.8.1.2.1 | z2 | k2 | Tabloda bir kentin iki farklı otuz yıllık dönem için hesaplanmış mevsimlik ortalama sıcaklıkları verilmiştir. Tabloyla ilgili üç … | ✓Yalnız III
fen-ik-204 | F.8.1.2.1 | z2 | k2 | Bir öğrenci, "Bir ölçümün iklim verisi sayılabilmesi için ne gerekir?" sorusunu araştırmış ve iklim bilimcilerin çalışma biçimini… | ✓Ölçümlerin uzun yıllar boyunca düzenli olara…
fen-ik-205 | F.8.1.2.1 | z2 | k2 | Grafikte bir bölgenin onar yıllık dönemlerdeki yıllık ortalama yağış toplamları verilmiştir. Buna göre aşağıdakilerden hangisi sö… | ✓Bölgeye 2015 yılında 575 mm yağış düşmüştür.
fen-ik-206 | F.8.1.2.1 | z2 | k2 | Bir okul, gelecek yılın haziran ayında üç günlük bir doğa kampı düzenlemeyi planlamaktadır. Kamp kurulu, kampın yağmurlu geçme ol… | ✓Bölgenin uzun yıllara ait haziran ayı yağış …
fen-ik-207 | F.8.1.2.2 | z2 | k2 | Bir iklim bilimci, bir bölgenin son altmış yıldaki iklim değişimini incelemektedir. Çalışması sırasında şu üç işlemi yapması öner… | ✓Yalnız I
fen-ik-208 | F.8.1.2.2 | z2 | k2 | Bir tarım kooperatifi, kuracağı seranın ısıtma sistemini tasarlamak için bölgede kışların ne kadar soğuk geçtiğini öğrenmek istem… | ✓İklim bilimci — bölgenin son kırk yıllık kış…
fen-ik-209 | F.8.1.2.1 | z2 | k2 | Bir kentte ocak ayında art arda üç gün en düşük sıcaklık −12 °C ölçülmüştür. Kentte yaşayan bir kişi, "Bu kadar soğuk varken kent… | ✓Bu üç gün soğuk geçmiş olabilir; ısınma ise …
fen-ik-210 | F.8.1.2.1 | z2 | k2 | Dört öğrenci, yaşadıkları ilin ikliminin son elli yılda değişip değişmediğini araştırmak için birer veri seti toplamıştır. Buna g… | ✓Mert
fen-ik-211 | F.8.1.2.1 | z2 | k2 | Bir çiftçi, biçtiği buğdayı harman yerinde iki gün açıkta bırakacaktır; bu iki gün içinde yağmur yağarsa ürün zarar görür. Çiftçi… | ✓Karar iki günlük bir işi kapsadığı için hava…
fen-ik-212 | F.8.1.2.1 | z2 | k2 | Küresel iklim değişikliğiyle ilgili üç yargı veriliyor. I. Dünya genelinde ortalama sıcaklıkların artması bu değişikliğin gösterg… | ✓I ve III
fen-ik-213 | F.8.1.2.1 | z2 | k2 | Bir mimar, sıcak ve kurak bir bölgede yapacağı okul binasında kalın duvarlar, geniş gölgelikler ve yağmur suyu toplama deposu kul… | ✓Uzun yıllık kayıtlardan çıkarılan iklim bilg…
fen-ik-214 | F.8.1.2.1 | z3 | k2 | Tabloda K ve L illerinin uzun yıllar (1991-2020) ortalaması olarak hesaplanan değerleri ile bu illere 3 Mart günü düşen yağış mik… | ✓I ve II
fen-ik-215 | F.8.1.2.1 | z3 | k2 | Kayısı ağacının çiçekleri, açtıktan sonra don olursa zarar görür ve o yıl ürün alınamaz. Bir çiftçi, bahçesinin bulunduğu bölge i… | ✓Çiçeklenme son don tarihinin önüne geçtiği i…
fen-ik-216 | F.8.1.2.1 | z3 | k2 | Tabloda 1980-2020 yılları arasında iki büyüklüğün değişimi verilmiştir: Kuzey Kutbu'nda eylül ayında deniz buzuyla kaplı alan ve … | ✓II ve III
fen-ik-217 | F.8.1.2.2 | z3 | k2 | Bir belediye, sel konusunda çalışmak için iki ayrı rapor almıştır. Belediyenin alacağı iki karar şunlardır: • Yarın dere kenarınd… | ✓Yol kapatma kararında 1. rapor, kanal genişl…
fen-ik-218 | F.8.1.2.1 | z3 | k2 | K ve L kentlerinin yıllık ortalama sıcaklıkları birbirine eşittir. Tabloda iki kentin uzun yıllar ortalaması olarak hesaplanan de… | ✓I ve III
fen-ik-219 | F.8.1.2.1 | z3 | k2 | Bir iklim bilimcinin saha günlüğünden bir sayfa aşağıda verilmiştir. "18 Mayıs. Kahvaltıda ev sahibim, 'Bu ilçenin mayıs ortalama… | ✓Uzun yıllık bir ortalama, belli bir günün ha…
