tur-sm-101 | T.8.3.25 | z1 | k1 | Pencere önüne yan yana dört saksı konmuştur. Saksılara fesleğen, nane, maydanoz ve biberiye dikilecektir. • Fesleğen 1 numaralı s… | ✓Maydanoz
tur-sm-102 | T.8.3.32 | z1 | k1 | Okulun kulüp panosuna, etkinliğin tarihini, yerini ve saatini birlikte gösteren afişler asılabilmektedir. Tabloda dört afişte han… | ✓Doğa yürüyüşü afişi
tur-sm-103 | T.8.3.32 | z1 | k1 | Aylin, Batu ve Cemal'in her biri farklı bir çalgı çalmaktadır: keman, gitar ve flüt. Tabloda ✗ işareti, o kişinin o çalgıyı çalma… | ✓Cemal keman çalar.
tur-sm-104 | T.8.3.25 | z1 | k1 | Bir gençlik merkezinde pazartesiden perşembeye kadar her gün tek bir kurs yapılmaktadır: resim, müzik, satranç ve dans. Görselde … | ✓Müzik
tur-sm-105 | T.8.3.32 | z1 | k1 | Bir okulun geri dönüşüm köşesindeki kutular ve bu kutulara atılacak atıklar birinci tabloda, dört öğrencinin attığı atıklar ikinc… | ✓Onur
tur-sm-106 | T.8.3.25 | z1 | k1 | Bir fırının önünde Ada, Berk, Cansu ve Doruk sıraya girmiştir. • Sıranın en önünde Ada vardır. • Berk, Ada'nın hemen arkasındadır… | ✓Doruk
tur-sm-107 | T.8.3.32 | z1 | k1 | Bir yüzme havuzunun derin bölümüne girebilmek için iki koşulun birlikte sağlanması gerekir: ileri seviye yüzücülere verilen mavi … | ✓Mira
tur-sm-108 | T.8.3.25 | z1 | k1 | Dört katlı bir apartmanın her katında bir aile oturmaktadır: Kaya, Öz, Aras ve Er aileleri. • Kaya ailesi en üst katta oturur. • … | ✓Er ailesi
tur-sm-109 | T.8.3.25 | z1 | k1 | Bir kart oyununda kartlar soldan sağa yan yana dizilir. Oyunun kuralı şudur: Bir kartın hemen sağına ancak onunla aynı renkte ya … | ✓Mavi daire
tur-sm-110 | T.8.3.32 | z1 | k1 | Bir sınıfın haftalık nöbet çizelgesi aşağıda verilmiştir. Sınıfın kuralına göre nöbetçi öğrenci o gün okula gelmezse nöbeti, çize… | ✓Deniz
tur-sm-111 | T.8.3.25 | z1 | k1 | Üç kardeşin yaşları birbirinden farklıdır. Nil, Umut'tan büyüktür. Umut da Tuna'dan büyüktür. Buna göre aşağıdakilerden hangisi k… | ✓Nil, kardeşlerin en büyüğüdür.
tur-sm-112 | T.8.3.25 | z1 | k1 | Beş arkadaş bir sözcük zinciri oyunu oynamaktadır. Kurala göre her oyuncu, bir önceki oyuncunun söylediği sözcüğün son harfiyle b… | ✓Efe
tur-sm-113 | T.8.3.25 | z2 | k1 | Bir rafa roman, şiir, öykü ve deneme kitapları yan yana dizilecektir. Görselde deneme kitabının yeri gösterilmiştir. Diğer kitapl… | ✓Roman 4 numaralı yerdedir.
tur-sm-114 | T.8.3.32 | z2 | k1 | Aslı, Bulut, Ceren ve Deniz'in her biri farklı bir kulübe katılmıştır: satranç, tiyatro, robotik ve fotoğraf. Tabloda robotik kul… | ✓Aslı
tur-sm-115 | T.8.3.32 | z2 | k1 | Bir halka atma oyununda her oyuncu üç atış yapar. Halka kırmızı kazığa geçerse 3, mavi kazığa geçerse 2, sarı kazığa geçerse 1 pu… | ✓Kerem
tur-sm-116 | T.8.3.25 | z2 | k1 | Zeynep, Arda, Mina ve Kaan bir koşuya katılmıştır; iki kişi aynı anda bitiş çizgisine varmamıştır. Zeynep, Arda'dan önce; Arda da… | ✓Kaan'ın kaçıncı olduğu
tur-sm-117 | T.8.3.32 | z2 | k1 | Bir okul kütüphanesinde her kitabın sırtına iki harfli bir kod yapıştırılır. Kodun ilk harfi kitabın türünü, ikinci harfi yazarın… | ✓Rüzgâr Defteri
tur-sm-118 | T.8.3.25 | z2 | k1 | Ece, Fırat, Gül ve Harun'un her birinin farklı bir evcil hayvanı vardır: kedi, köpek, balık ve muhabbet kuşu. Ece'nin hayvanı sud… | ✓Fırat'ın muhabbet kuşu vardır.
tur-sm-119 | T.8.3.25 | z2 | k1 | Okul radyosunda pazartesiden perşembeye kadar her gün tek bir yayın yapılacaktır: haber, şiir, müzik ve bilmece. Görselde şiir ya… | ✓4
tur-sm-120 | T.8.3.25 | z2 | k1 | Bir robot, görseldeki tahtada şu komutlarla hareket etmektedir: İ: Baktığı yöne doğru bir kare ilerler. S: Olduğu yerde sağa döne… | ✓Kiraz
tur-sm-121 | T.8.3.25 | z2 | k1 | Nehir, Onur, Pınar ve Rüzgâr sinemada yan yana dört koltuğa oturmuştur. Görselde Rüzgâr'ın koltuğu gösterilmiştir. • Nehir ile On… | ✓Onur 3 numaralı koltukta oturmuştur.
tur-sm-122 | T.8.3.32 | z2 | k1 | Bir okul, bahar şenliğinin yerini hava durumuna göre şu kurallarla belirleyecektir: • Yağış varsa şenlik spor salonunda yapılır. … | ✓Perşembe
tur-sm-123 | T.8.3.32 | z2 | k1 | Sena, Taylan, Umay ve Veli okula farklı yollarla gelmektedir: yürüyerek, bisikletle, servisle ve otobüsle. Tabloda ✗ işareti, öğr… | ✓Umay
